,date_MES,date_fin,event,zone_corro
6297,2000-09-05,2018-12-31,0,1
4547,2006-02-04,2013-08-09,1,0
7908,1982-12-26,2010-09-14,1,1
16309,2002-06-02,2018-12-31,0,0
10421,2000-02-26,2017-08-01,1,0
18571,2009-05-23,2018-12-31,0,0
8883,2006-06-13,2018-12-31,0,0
13180,2006-01-16,2018-12-31,0,0
9197,2004-12-27,2018-12-31,0,0
10262,1992-08-16,2018-12-31,0,0
4674,2000-03-19,2018-12-31,0,0
1580,2007-04-20,2018-12-31,0,0
12240,1999-08-03,2013-06-09,1,1
15637,2002-01-07,2018-12-31,0,0
18633,1999-09-18,2018-12-31,0,0
9206,2004-03-02,2018-12-31,0,0
6554,1996-07-03,2018-12-31,0,0
18205,2000-09-14,2018-12-31,0,0
5873,1985-10-08,2018-12-31,0,0
17285,1986-07-01,2016-01-18,1,0
16409,2009-01-23,2018-12-31,0,1
1402,1999-07-18,2018-12-31,0,0
8571,1997-06-20,2018-12-31,0,0
4659,2005-05-04,2018-12-31,0,0
5044,1999-09-17,2018-12-31,0,0
4292,1997-09-11,2018-12-31,0,1
11768,1989-01-18,2018-12-31,0,0
15412,1996-03-04,2018-12-31,0,0
16117,1993-07-14,2018-12-31,0,0
10658,1998-07-19,2018-01-06,1,0
18366,1996-01-01,2010-08-01,1,1
7638,2009-02-13,2018-12-31,0,0
2998,2007-01-17,2018-12-31,0,0
14920,1994-04-17,2018-12-31,0,0
5497,1982-06-07,2018-12-31,0,0
17971,1994-04-04,2018-10-22,1,0
13716,2006-05-14,2018-12-31,0,0
6889,2003-05-09,2018-12-31,0,0
3332,2003-12-14,2018-12-31,0,0
18281,2006-04-14,2018-01-30,1,1
7803,1982-08-26,2018-12-31,0,0
9157,2001-05-11,2018-12-31,0,0
4429,1998-10-31,2011-06-15,1,1
17243,2005-06-29,2018-12-31,0,0
3500,1998-06-27,2018-12-31,0,0
908,2004-01-10,2018-12-31,0,0
15274,2003-05-17,2018-12-31,0,0
7136,1982-12-07,2018-12-31,0,0
15674,2001-01-06,2015-09-07,1,1
3315,1995-09-17,2018-12-31,0,0
15482,1998-12-09,2018-12-31,0,0
11309,2000-09-28,2015-12-21,1,1
16189,1999-01-19,2018-12-31,0,1
562,2003-02-16,2018-12-31,0,1
1346,2000-11-02,2018-12-31,0,1
14873,2003-11-24,2018-12-31,0,0
7215,1999-03-30,2018-12-31,0,0
2907,1978-02-11,2015-07-28,1,1
19260,2005-06-19,2018-12-31,0,0
15690,2005-03-20,2018-12-31,0,0
16203,2006-07-26,2018-12-31,0,0
5192,2005-03-28,2018-12-31,0,0
7862,2000-02-21,2018-12-31,0,0
13669,2001-03-07,2018-12-31,0,0
1859,2002-10-08,2018-12-31,0,0
17786,2000-10-11,2017-01-20,1,1
16495,1991-03-25,2018-12-31,0,0
13370,1991-07-20,2018-12-31,0,1
16049,2002-12-05,2018-12-31,0,0
2715,1986-01-16,2018-12-31,0,0
14427,2004-09-19,2014-04-20,1,1
15764,2003-09-09,2018-12-31,0,0
16886,1996-05-17,2018-12-31,0,0
3615,2004-08-07,2018-12-31,0,1
10353,1989-02-12,2014-11-01,1,0
382,2000-02-18,2018-12-31,0,0
11635,1999-11-14,2018-12-31,0,0
14776,1994-04-28,2018-12-31,0,0
2641,2008-10-27,2018-12-31,0,0
4554,1993-05-24,2013-04-24,1,1
14805,2006-11-06,2018-12-31,0,1
1531,1999-01-16,2018-12-31,0,0
16758,2001-05-02,2018-12-31,0,0
19667,2007-07-13,2018-12-31,0,1
1111,1994-06-21,2018-12-31,0,0
19269,1994-01-11,2013-05-30,1,0
16162,2003-12-24,2018-12-31,0,0
2681,2001-12-12,2013-05-08,1,1
4179,1993-06-09,2018-12-31,0,1
14113,2003-06-21,2018-12-31,0,0
16139,1990-09-20,2018-12-31,0,0
2462,2005-10-21,2018-12-31,0,0
12808,2001-08-23,2018-12-31,0,0
15189,2009-10-23,2018-12-31,0,0
14794,2006-04-06,2018-12-31,0,1
5661,2006-06-16,2018-12-31,0,0
19001,2007-05-08,2018-12-31,0,0
16135,1993-01-05,2018-12-31,0,0
13227,1999-02-18,2018-12-31,0,1
16064,1999-03-11,2018-12-31,0,0
18095,2002-11-09,2018-12-31,0,0
12874,2007-09-12,2018-12-31,0,1
17129,2002-04-18,2018-12-31,0,0
17235,2006-11-17,2018-08-13,1,1
17683,2005-09-26,2018-12-31,0,0
9045,2005-01-12,2016-07-30,1,1
15912,2007-09-12,2018-12-31,0,0
18237,2004-04-29,2018-12-31,0,1
8012,2003-10-20,2018-12-31,0,0
12297,2004-01-23,2016-02-16,1,1
18883,2006-11-13,2018-12-31,0,0
57,1993-03-07,2018-12-31,0,0
9922,1994-07-05,2018-12-31,0,0
13329,2004-09-17,2018-12-31,0,0
18395,2004-12-05,2018-12-31,0,0
6892,1998-01-23,2018-12-31,0,0
3635,2004-02-07,2018-08-29,1,1
12882,2008-12-11,2018-12-31,0,1
2242,1996-08-05,2018-12-31,0,0
9994,1988-02-20,2012-06-29,1,1
14563,1995-12-21,2018-12-31,0,0
16635,2004-07-09,2018-12-31,0,0
13148,1994-09-29,2018-12-31,0,0
5666,2003-01-24,2014-10-17,1,0
12143,2008-04-13,2018-12-31,0,0
10768,2004-08-28,2018-12-31,0,1
1319,1991-07-11,2018-12-31,0,0
14830,2001-12-20,2018-12-31,0,0
6702,2004-01-22,2018-12-31,0,0
13420,2003-12-12,2018-12-31,0,0
8124,2009-01-18,2018-12-31,0,1
3313,1997-08-16,2018-12-31,0,0
6148,2009-10-27,2018-12-31,0,1
3409,1990-08-05,2011-09-13,1,0
11303,1990-08-29,2016-02-20,1,1
17750,1981-08-12,2011-02-16,1,1
1848,1991-05-17,2013-06-26,1,1
9632,2001-04-23,2018-12-31,0,1
7683,2006-05-02,2018-12-31,0,0
13720,1996-12-25,2018-12-31,0,1
15132,2004-10-08,2018-12-31,0,0
5909,2001-04-14,2015-12-14,1,0
938,1992-12-31,2018-12-31,0,0
2791,2006-12-14,2018-12-31,0,0
14276,2009-05-30,2017-06-25,1,0
15048,2005-07-03,2018-12-31,0,0
4284,2005-11-23,2018-12-31,0,1
14539,1995-09-04,2018-12-31,0,0
702,1995-06-15,2015-01-11,1,1
10622,2005-02-18,2018-12-31,0,0
10881,1997-08-06,2018-12-31,0,1
10758,2004-03-11,2018-12-31,0,0
12457,2006-09-10,2018-12-31,0,0
14600,2009-07-03,2012-11-12,1,1
244,2003-05-12,2018-12-31,0,0
1557,1999-10-20,2010-02-23,1,1
13680,1999-09-20,2018-12-31,0,0
14212,2005-05-18,2018-12-31,0,0
9248,2005-07-06,2015-03-07,1,1
15610,2004-02-23,2018-12-31,0,0
15630,2001-01-19,2018-12-31,0,1
5865,2005-06-07,2018-12-31,0,0
17652,1995-09-28,2018-12-31,0,0
3520,2005-12-15,2018-12-31,0,0
12438,2004-07-17,2018-12-31,0,0
7294,1989-06-24,2014-10-31,1,1
3,1989-07-26,2018-12-31,0,0
5051,2004-09-02,2018-12-31,0,0
9459,2003-07-04,2018-12-31,0,0
10648,2008-07-26,2018-12-31,0,0
18329,1998-12-25,2018-12-31,0,1
3779,2001-04-29,2018-12-31,0,0
14719,2005-03-20,2018-12-31,0,0
15736,2008-05-14,2018-12-31,0,1
16459,2007-07-01,2018-12-31,0,0
4196,2002-04-21,2018-12-31,0,0
4953,2000-02-29,2018-12-31,0,0
12953,2007-10-03,2018-12-31,0,1
3854,2004-02-15,2018-12-31,0,1
15235,2006-04-08,2018-12-31,0,1
3066,1997-07-22,2013-03-26,1,0
10329,2000-04-26,2018-12-31,0,0
6636,2003-07-24,2018-12-31,0,1
11062,2006-03-24,2018-12-31,0,0
8624,2005-03-26,2018-12-31,0,1
19996,1996-01-06,2018-12-31,0,0
18376,2005-01-30,2018-12-31,0,1
4333,1987-10-22,2018-12-31,0,0
16936,1996-08-06,2018-12-31,0,1
15224,2002-07-09,2018-12-31,0,1
4893,2007-07-19,2018-12-31,0,0
6628,2003-03-08,2014-01-21,1,1
10587,2001-12-31,2018-12-31,0,0
10502,1989-08-10,2015-05-20,1,1
3115,2007-12-31,2018-12-31,0,0
9805,1988-01-21,2018-12-31,0,0
16823,2000-06-08,2018-12-31,0,0
19807,2006-03-05,2018-12-31,0,0
8323,2008-01-01,2018-12-31,0,0
16649,1993-12-29,2018-12-31,0,0
4233,2007-10-17,2018-12-31,0,1
2906,1996-08-05,2018-12-31,0,0
7349,2008-06-27,2018-12-31,0,0
9626,2006-10-23,2018-12-31,0,0
2855,1998-07-27,2018-12-31,0,0
6514,2006-11-17,2018-12-31,0,0
3112,2008-02-21,2018-12-31,0,0
7432,1983-08-05,2018-12-31,0,0
2914,2003-11-25,2018-12-31,0,0
15803,2005-04-24,2018-12-31,0,0
14193,2003-10-07,2018-12-31,0,0
18374,1999-04-18,2018-12-31,0,0
2511,2007-04-11,2018-12-31,0,0
4883,2007-03-19,2018-12-31,0,0
5182,2006-05-19,2018-12-31,0,1
16566,2004-07-01,2018-12-31,0,0
18545,1992-06-14,2013-08-27,1,0
19570,1983-11-05,2011-10-16,1,1
3517,2006-07-04,2018-12-31,0,0
8106,2001-09-09,2018-12-31,0,0
18990,1995-08-25,2015-02-25,1,0
987,2000-05-06,2018-12-31,0,0
16061,2009-06-16,2018-12-31,0,0
8855,2000-09-12,2018-12-31,0,0
5369,1998-06-18,2018-12-31,0,0
2281,1999-05-12,2018-12-31,0,0
2195,2008-06-05,2018-12-31,0,0
17952,2000-06-13,2018-12-31,0,0
10795,2004-01-05,2018-12-31,0,1
755,1990-12-07,2013-08-02,1,1
5486,1996-05-31,2016-04-14,1,1
17322,1998-02-17,2018-12-31,0,0
9128,2007-03-24,2018-12-31,0,0
3627,2003-10-06,2018-12-31,0,1
13050,1999-08-26,2015-04-06,1,1
11958,1997-12-10,2018-12-31,0,1
3297,1992-01-17,2018-12-31,0,0
13820,2000-06-12,2018-12-31,0,0
17057,2000-12-16,2013-08-29,1,1
7494,1996-03-20,2015-03-27,1,0
10871,2003-04-15,2018-12-31,0,0
4488,1994-07-26,2018-12-31,0,0
15800,1999-02-20,2015-07-12,1,1
13375,2003-01-30,2018-12-31,0,0
910,1989-12-25,2014-08-07,1,1
10391,1994-01-15,2018-12-31,0,0
5425,2005-05-24,2018-12-31,0,0
2699,2002-09-01,2013-01-02,1,0
9623,2005-10-11,2018-12-31,0,0
19061,1999-09-26,2017-12-03,1,1
2001,2000-01-26,2018-12-31,0,0
19771,2003-05-27,2018-12-31,0,0
470,2006-06-25,2016-04-16,1,1
6717,2008-06-30,2018-12-31,0,0
15745,2004-10-30,2018-12-31,0,0
10251,2000-11-04,2013-03-02,1,1
14125,2007-11-25,2018-12-31,0,1
13340,2001-08-22,2018-12-31,0,0
8626,2008-03-29,2018-12-31,0,0
6345,1996-01-10,2018-12-31,0,1
10970,2001-06-10,2012-01-18,1,1
18324,2001-08-07,2018-12-31,0,0
13940,2005-05-27,2016-11-11,1,0
6030,1997-07-20,2018-12-31,0,0
11032,2002-06-16,2018-12-31,0,0
18800,2005-12-20,2018-12-31,0,1
2492,2006-09-16,2018-12-31,0,0
4187,2004-05-27,2018-12-31,0,0
8514,2007-10-10,2015-09-04,1,1
6637,1998-10-19,2018-12-31,0,0
10046,2001-11-19,2018-12-31,0,0
18900,1994-11-29,2010-08-24,1,1
3888,1995-12-17,2018-12-31,0,0
977,1988-06-18,2018-12-31,0,0
2399,2005-09-30,2018-12-31,0,0
15706,2004-03-21,2018-12-31,0,0
4238,2003-07-11,2018-12-31,0,1
13204,2003-10-05,2018-12-31,0,0
1917,2001-10-16,2018-12-31,0,0
15385,1993-12-10,2018-12-31,0,0
1705,2002-11-22,2018-12-31,0,0
19292,2006-06-03,2018-12-31,0,1
7271,1992-07-20,2018-12-31,0,0
2056,2008-05-12,2018-12-31,0,0
17711,2003-08-13,2018-12-31,0,0
19035,1999-03-22,2018-08-11,1,0
10508,2001-06-19,2018-12-31,0,0
307,2008-05-06,2018-12-31,0,0
14930,2006-01-24,2012-04-19,1,1
7530,2003-07-12,2018-12-31,0,1
12042,2007-07-30,2018-12-31,0,0
16987,2006-02-19,2018-12-31,0,1
2491,2002-12-28,2018-12-31,0,0
7445,1998-12-29,2012-02-26,1,1
5249,1994-09-24,2012-01-31,1,1
17449,2000-02-04,2014-11-05,1,1
15968,1990-05-12,2018-12-31,0,0
10181,1996-03-31,2018-12-31,0,0
15533,2001-02-24,2018-12-31,0,0
19785,2005-07-12,2018-12-31,0,0
16260,1999-09-21,2018-12-31,0,0
404,2001-01-05,2018-12-31,0,0
9622,2008-08-23,2015-01-26,1,1
5076,2000-04-28,2018-12-31,0,0
8104,2002-03-04,2015-04-02,1,0
1056,2009-02-20,2018-12-31,0,0
12096,1993-01-09,2018-10-08,1,0
15297,2008-09-13,2015-03-10,1,1
18347,2005-02-01,2018-12-31,0,0
17313,1994-03-29,2018-12-31,0,0
8628,2000-04-05,2018-12-31,0,1
2186,2000-10-04,2018-12-31,0,0
16505,1991-01-27,2018-12-31,0,0
9218,2003-11-11,2018-12-31,0,0
1685,1998-09-27,2014-11-09,1,0
4548,2002-06-03,2018-12-31,0,0
3994,1997-07-16,2018-12-31,0,0
16073,1987-07-23,2018-12-31,0,0
19931,1988-07-17,2018-04-23,1,1
5983,2000-02-18,2018-12-31,0,0
12554,1976-07-05,2013-12-31,1,1
4629,2007-04-08,2018-12-31,0,0
4878,2006-12-29,2018-12-31,0,0
3616,2004-12-15,2018-12-31,0,0
5725,2006-02-10,2018-12-31,0,0
11423,2003-10-09,2018-12-31,0,0
16878,1999-01-07,2016-01-17,1,0
9398,2006-05-02,2018-12-31,0,0
8808,2001-02-23,2012-03-20,1,1
9935,2000-06-08,2018-12-31,0,0
13104,1991-06-17,2018-12-31,0,0
17287,2008-01-05,2016-12-21,1,1
14545,1995-09-02,2018-12-31,0,0
2552,2005-01-29,2018-12-31,0,1
18597,2008-12-18,2018-12-31,0,0
18159,2001-03-19,2013-10-10,1,1
8149,1997-06-06,2018-12-31,0,0
4207,2001-07-30,2018-12-31,0,0
1453,2001-01-07,2018-12-31,0,0
9728,2000-08-30,2018-12-31,0,0
15262,2003-06-12,2018-12-31,0,0
16141,2007-09-18,2018-12-31,0,0
1689,2009-06-11,2018-12-31,0,0
9942,2003-07-03,2018-12-31,0,0
2691,2004-04-17,2018-12-31,0,0
17079,2002-09-12,2018-12-31,0,0
9492,2004-02-27,2018-12-31,0,0
18031,2002-08-11,2013-03-29,1,0
17096,2003-12-28,2018-12-31,0,1
18178,2006-09-12,2018-12-31,0,0
13623,2003-07-11,2018-12-31,0,0
12351,1999-12-18,2018-12-31,0,0
17410,2006-06-17,2018-12-31,0,0
13339,1989-01-24,2018-03-01,1,0
12266,2007-06-11,2010-08-06,1,0
14504,2008-04-29,2018-12-31,0,0
12076,2007-04-17,2018-12-31,0,0
10013,1997-04-16,2016-09-23,1,1
3735,1999-01-22,2018-12-31,0,0
789,1996-08-08,2012-06-14,1,0
19829,2004-06-03,2018-12-31,0,0
16029,2009-08-16,2018-12-31,0,0
6708,2004-05-28,2018-12-31,0,0
12664,2006-03-11,2018-12-31,0,0
12646,2008-10-29,2018-12-31,0,0
6219,1992-09-06,2017-03-13,1,1
2167,1993-04-04,2012-11-13,1,1
16914,2004-09-28,2018-12-31,0,0
6438,1990-06-09,2018-12-31,0,0
3872,1993-06-19,2018-12-31,0,0
18734,2007-10-14,2018-12-31,0,1
16040,1999-11-27,2018-12-31,0,0
13464,1989-10-15,2018-06-03,1,1
16774,1992-08-24,2014-08-09,1,0
15168,2004-04-21,2018-12-31,0,0
9349,2000-03-24,2018-12-31,0,0
17956,2008-04-21,2018-12-31,0,0
15261,2006-05-07,2018-12-31,0,0
12115,1998-06-02,2018-12-31,0,0
12692,1986-05-25,2018-12-31,0,0
2288,2002-08-16,2018-12-31,0,1
14408,1985-01-22,2018-12-31,0,0
17784,1996-01-23,2012-11-09,1,0
17051,1998-01-02,2018-12-31,0,1
15128,2003-12-31,2018-12-31,0,0
17202,2005-01-23,2018-12-31,0,0
4795,2005-06-08,2018-12-31,0,1
17795,1997-10-16,2018-12-31,0,0
6541,2005-01-29,2018-12-31,0,0
